subject_id,gender,ever_married,work_type,Residence_type
10001,Male,Yes,Private,Urban
10002,Male,Yes,Private,Rural
10003,Female,Yes,Private,Urban
10004,Female,Yes,Self-employed,Rural
10005,Male,Yes,Private,Urban
10006,Male,Yes,Private,Rural
10007,Female,No,Private,Urban
10008,Female,Yes,Private,Urban
10009,Female,Yes,Private,Rural
10010,Female,Yes,Govt_job,Rural
10011,Female,Yes,Private,Urban
10012,Female,Yes,Private,Urban
10013,Female,Yes,Self-employed,Rural
10014,Male,Yes,Private,Urban
10015,Male,Yes,Private,Urban
10016,Female,No,Private,Urban
10017,Female,Yes,Govt_job,Rural
10018,Female,Yes,Self-employed,Urban
10019,Female,Yes,Self-employed,Urban
10020,Male,Yes,Private,Rural
10021,Male,Yes,Private,Urban
10022,Male,Yes,Self-employed,Rural
10023,Female,Yes,Private,Rural
10024,Male,Yes,Self-employed,Urban
10025,Male,Yes,Private,Urban
10026,Male,Yes,Private,Rural
10027,Female,Yes,Self-employed,Urban
10028,Male,Yes,Self-employed,Urban
10029,Male,No,Govt_job,Urban
10030,Female,No,Private,Rural
10031,Male,Yes,Private,Rural
10032,Female,Yes,Private,Rural
10033,Male,No,Private,Rural
10034,Female,Yes,Private,Urban
10035,Male,Yes,Private,Rural
10036,Male,Yes,Private,Urban
10037,Male,Yes,Private,Urban
10038,Male,Yes,Govt_job,Urban
10039,Male,Yes,Private,Rural
10040,Female,Yes,Private,Urban
10041,Male,Yes,Self-employed,Urban
10042,Female,Yes,Private,Rural
10043,Female,Yes,Private,Rural
10044,Female,Yes,Self-employed,Urban
10045,Male,Yes,Private,Rural
10046,Female,Yes,Private,Rural
10047,Male,Yes,Self-employed,Urban
10048,Female,Yes,Govt_job,Urban
10049,Female,Yes,Private,Urban
10050,Female,Yes,Private,Rural
10051,Female,Yes,Self-employed,Rural
10052,Female,Yes,Private,Rural
10053,Male,No,Private,Urban
10054,Female,Yes,Private,Urban
10055,Male,Yes,Private,Urban
10056,Male,Yes,Private,Urban
10057,Female,Yes,Self-employed,Rural
10058,Female,Yes,Private,Rural
10059,Female,Yes,Govt_job,Rural
10060,Male,Yes,Private,Rural
10061,Female,Yes,Private,Rural
10062,Female,Yes,Self-employed,Rural
10063,Male,Yes,Private,Urban
10064,Female,Yes,Private,Urban
10065,Male,Yes,Self-employed,Urban
10066,Male,Yes,Private,Rural
10067,Female,No,Private,Rural
10068,Female,No,Self-employed,Urban
10069,Male,Yes,Private,Rural
10070,Male,Yes,Private,Rural
10071,Female,Yes,Private,Rural
10072,Male,Yes,Private,Urban
10073,Male,Yes,Private,Urban
10074,Female,Yes,Private,Urban
10075,Male,Yes,Private,Urban
10076,Female,No,Self-employed,Urban
10077,Female,Yes,Self-employed,Urban
10078,Male,Yes,Private,Rural
10079,Female,Yes,Private,Rural
10080,Female,Yes,Self-employed,Rural
10081,Male,Yes,Private,Rural
10082,Male,Yes,Govt_job,Urban
10083,Female,Yes,Govt_job,Urban
10084,Male,Yes,Govt_job,Urban
10085,Female,Yes,Govt_job,Rural
10086,Female,Yes,Private,Rural
10087,Female,Yes,Self-employed,Rural
10088,Female,Yes,Govt_job,Urban
10089,Female,Yes,Private,Rural
10090,Female,Yes,Self-employed,Rural
10091,Female,Yes,Private,Rural
10092,Female,Yes,Govt_job,Urban
10093,Male,Yes,Private,Rural
10094,Male,Yes,Private,Urban
10095,Female,No,Govt_job,Urban
10096,Male,No,Govt_job,Rural
10097,Male,Yes,Self-employed,Rural
10098,Male,Yes,Private,Urban
10099,Female,No,Self-employed,Urban
10100,Female,Yes,Private,Urban
10101,Female,Yes,Private,Rural
10102,Female,Yes,Private,Urban
10103,Male,Yes,Private,Rural
10104,Male,Yes,Private,Rural
10105,Female,Yes,Govt_job,Urban
10106,Female,Yes,Private,Urban
10107,Male,Yes,Govt_job,Urban
10108,Female,Yes,Private,Rural
10109,Female,No,Private,Urban
10110,Male,No,Private,Rural
10111,Female,Yes,Self-employed,Rural
10112,Female,Yes,Govt_job,Urban
10113,Male,Yes,Private,Urban
10114,Female,Yes,Private,Urban
10115,Male,Yes,Self-employed,Rural
10116,Female,Yes,Private,Rural
10117,Male,Yes,Govt_job,Rural
10118,Female,Yes,Private,Rural
10119,Female,Yes,Private,Urban
